gridindex,forest_ha,land_ha,disturbance_ha
0,0,63,NA
1,0,63,NA
2,25.38,62.91,1.7999999999999998
3,11.879999999999999,62.91,0.27
4,39.15,62.91,3.2399999999999998
5,33.93,62.91,0.99
6,40.14,63,NA
7,7.56,62.91,NA
8,8.01,62.91,0.72
9,22.32,63,NA
10,4.41,62.91,NA
11,52.739999999999995,63,NA
12,18.36,63,0.54
13,31.95,62.91,1.3499999999999999
14,46.08,62.91,0.54
15,21.96,62.91,NA
16,16.56,62.91,NA
17,19.62,54.269999999999996,2.16
18,0,3132.54,NA
19,0,6367.59,NA
20,4.59,6367.5,0.18
21,2605.3199999999997,6367.679999999999,102.6
22,2525.85,6367.5,141.39
23,3244.23,6367.679999999999,93.78
24,2951.5499999999997,6367.5,42.39
25,4552.0199999999995,6367.59,52.379999999999995
26,4172.49,6367.679999999999,34.019999999999996
27,1479.51,6367.59,19.8
28,1918.08,6367.679999999999,18.36
29,2075.4,6367.59,7.29
30,5261.94,6367.679999999999,139.04999999999998
31,3523.8599999999997,6367.59,111.42
32,2746.08,6367.679999999999,81.99
33,3069.9,6367.5,474.03
34,1726.56,6367.679999999999,20.16
35,2023.74,6367.679999999999,78.57
36,0,12470.85,NA
37,0,12470.76,NA
38,4515.66,12470.85,134.64
39,4724.91,12470.76,454.05
40,6904.53,12470.85,210.23999999999998
41,6877.98,12470.85,165.23999999999998
42,4556.07,12470.76,20.79
43,6241.95,12470.67,54.809999999999995
44,1299.51,12470.67,10.709999999999999
45,2591.0099999999998,12470.85,16.38
46,2302.38,12470.58,23.04
47,6421.59,12470.76,91.17
48,9908.1,12470.76,354.78
49,7779.33,12470.67,339.03
50,5807.429999999999,12470.85,154.98
51,4041.81,12470.67,64.08
52,5137.11,12470.76,100.71
53,5543.91,9275.4,365.84999999999997
54,0,6134.4,NA
55,0,12470.85,NA
56,946.89,12470.67,6.3
57,4976.82,12470.76,294.03
58,5380.0199999999995,12470.67,494.37
59,6394.41,12470.76,195.48
60,5793.84,12470.67,61.559999999999995
61,5807.07,12470.76,52.019999999999996
62,5470.2,12470.85,26.099999999999998
63,2247.21,12470.85,15.209999999999999
64,1418.6699999999998,12470.85,14.04
65,4433.76,12470.76,40.589999999999996
66,8608.05,12470.85,258.3
67,9044.01,12470.85,338.49
68,4614.389999999999,12470.76,99.81
69,5561.46,12470.67,219.87
70,7113.0599999999995,12470.85,276.12
71,5680.62,12470.85,169.38
72,0,12470.85,NA
73,0,12470.76,NA
74,3773.3399999999997,12470.85,127.25999999999999
75,4646.97,12470.76,441.53999999999996
76,7454.61,12470.85,288.53999999999996
77,5365.889999999999,12470.85,93.78
78,5612.219999999999,12470.76,21.06
79,2517.75,12470.67,28.529999999999998
80,1972.35,12470.67,4.14
81,2570.85,12470.85,23.759999999999998
82,2345.04,12470.58,33.3
83,4334.67,12470.76,181.44
84,8456.58,12470.76,200.60999999999999
85,6175.53,12470.67,148.04999999999998
86,5561.639999999999,12470.85,96.21
87,6763.05,12470.67,169.82999999999998
88,3375.0899999999997,12470.76,175.14
89,5594.4,9275.4,161.46
90,0,6134.4,NA
91,0,12470.85,NA
92,982.53,12470.67,53.64
93,4826.97,12470.76,266.76
94,3744.99,12470.67,328.5
95,5860.26,12470.76,97.56
96,5565.87,12470.67,37.89
97,4464.8099999999995,12470.76,16.74
98,4300.11,12470.85,43.379999999999995
99,2974.3199999999997,12470.85,29.43
100,4775.94,12470.85,51.39
101,4465.889999999999,12470.76,86.31
102,5122.3499999999995,12470.85,168.39
103,6552.54,12470.85,108.72
104,9568.35,12470.76,208.17
105,8533.619999999999,12470.67,150.93
106,7433.009999999999,12470.85,218.16
107,4456.889999999999,12470.85,230.57999999999998
108,0,12470.85,NA
109,0,12470.76,NA
110,4376.79,12470.85,287.19
111,4773.15,12470.76,344.07
112,2895.66,12470.85,94.59
113,5591.79,12470.85,93.42
114,6275.88,12470.76,38.61
115,3783.5099999999998,12470.67,44.73
116,4011.2999999999997,12470.67,41.76
117,8685.18,12470.85,115.11
118,3682.2599999999998,12470.58,75.33
119,4687.38,12470.76,154.44
120,5462.46,12470.76,135.35999999999999
121,8971.109999999999,12470.67,281.7
122,10246.5,12470.85,245.42999999999998
123,10000.8,12470.67,223.2
124,3834.99,12470.76,83.88
125,2331.99,9275.4,42.3
126,0,6134.4,NA
127,0,12470.85,NA
128,3050.64,12470.67,136.71
129,3560.94,12470.76,85.22999999999999
130,3990.33,12470.67,250.82999999999998
131,4545.09,12470.76,105.75
132,4247.46,12470.67,24.119999999999997
133,5130.99,12470.76,16.38
134,7958.969999999999,12470.85,129.87
135,4979.61,12470.85,84.86999999999999
136,5485.95,12470.85,95.94
137,4532.94,12470.76,95.49
138,3363.21,12470.85,127.71
139,4317.75,12470.85,102.96
140,9928.8,12470.76,372.33
141,10111.77,12470.67,188.01
142,9297.27,12470.85,103.05
143,4518.63,12470.85,61.019999999999996
144,0,12470.85,NA
145,700.8299999999999,12470.76,9.27
146,4075.02,12470.85,131.67
147,4308.75,12470.76,272.78999999999996
148,4129.74,12470.85,405.27
149,5812.0199999999995,12470.85,81
150,4125.5999999999995,12470.76,20.79
151,3693.5099999999998,12470.67,52.83
152,6536.16,12470.67,81.53999999999999
153,8057.34,12470.85,144.63
154,2499.2999999999997,12470.58,48.33
155,3551.4,12470.76,89.1
156,4616.46,12470.76,92.7
157,4493.429999999999,12470.67,83.78999999999999
158,9422.64,12470.85,232.73999999999998
159,9538.56,12470.67,207.54
160,4202.91,12470.76,47.25
161,4465.53,9275.4,42.93
162,0,6134.4,NA
163,0,12470.85,NA
164,4832.28,12470.67,164.88
165,6067.44,12470.76,217.35
166,4292.28,12470.67,209.88
167,2576.88,12470.76,168.39
168,4665.78,12470.67,80.00999999999999
169,5943.87,12470.76,22.95
170,6261.57,12470.85,151.73999999999998
171,7694.73,12470.85,176.48999999999998
172,6419.969999999999,12470.85,187.92
173,3555.54,12470.76,42.39
174,4805.639999999999,12470.85,39.42
175,3761.5499999999997,12470.85,11.43
176,3715.29,12470.76,39.24
177,10007.279999999999,12470.67,85.77
178,7607.5199999999995,12470.85,74.97
179,5002.74,12470.85,50.76
180,0,12470.85,NA
181,1394.19,12470.76,42.66
182,4257.99,12470.85,146.34
183,5085.2699999999995,12470.76,320.76
184,4422.15,12470.85,283.5
185,3135.06,12470.85,91.08
186,3938.1299999999997,12470.76,29.16
187,4442.4,12470.67,58.769999999999996
188,6613.469999999999,12470.67,85.86
189,6198.57,12470.85,140.04
190,3008.6099999999997,12470.58,18.27
191,4045.14,12470.76,106.56
192,2889,12470.76,37.89
193,3613.77,12470.67,46.98
194,3699.18,12470.85,19.169999999999998
195,8794.17,12470.67,55.35
196,7010.37,12470.76,113.67
197,1918.8899999999999,9275.4,27.72
198,0,6134.4,NA
199,0,12470.85,NA
200,4431.78,12470.67,93.42
201,5087.79,12470.76,302.21999999999997
202,4130.28,12470.67,175.5
203,2848.68,12470.76,137.88
204,5235.66,12470.67,108.89999999999999
205,3955.5,12470.76,18.09
206,4959.63,12470.85,90.36
207,8434.8,12470.85,106.28999999999999
208,3202.65,12470.85,32.129999999999995
209,3869.0099999999998,12470.76,34.379999999999995
210,4101.389999999999,12470.85,114.57
211,3985.83,12470.85,46.62
212,4329.45,12470.76,45.809999999999995
213,5176.17,12470.67,46.62
214,6716.969999999999,12470.85,143.54999999999998
215,6192.99,12470.85,97.56
216,0,12470.85,NA
217,3419.1,12470.76,39.33
218,4209.389999999999,12470.85,174.06
219,4635.9,12470.76,173.88
220,4899.87,12470.85,408.33
221,2476.5299999999997,12470.85,98.1
222,3599.73,12470.76,61.199999999999996
223,4243.23,12470.67,88.74
224,3333.7799999999997,12470.67,93.42
225,4943.61,12470.85,55.26
226,3584.0699999999997,12470.58,55.71
227,2901.87,12470.76,82.89
228,1671.75,12470.76,32.49
229,4202.55,12470.67,25.65
230,3806.19,12470.85,25.29
231,5523.03,12470.67,33.66
232,7334.0999999999995,12470.76,87.75
233,3632.7599999999998,9275.4,61.379999999999995
234,0,6134.4,NA
235,867.06,12470.85,31.95
236,5220.179999999999,12470.67,218.16
237,4431.69,12470.76,298.26
238,5022.36,12470.67,288.53999999999996
239,5915.7,12470.76,563.5799999999999
240,2914.65,12470.67,54
241,4652.82,12470.76,44.01
242,7365.5999999999995,12470.85,161.28
243,7737.389999999999,12470.85,92.61
244,3877.2,12470.85,44.82
245,2877.5699999999997,12470.76,23.22
246,2835.3599999999997,12470.85,21.869999999999997
247,1561.77,12470.85,7.739999999999999
248,4284.2699999999995,12470.76,38.519999999999996
249,4544.639999999999,12470.67,46.98
250,6119.19,12470.85,88.38
251,4596.75,12470.85,72.89999999999999
252,1131.48,12470.85,7.92
253,7668.8099999999995,12470.76,158.85
254,6828.929999999999,12470.85,422.19
255,5918.8499999999995,12470.76,393.84
256,5476.679999999999,12470.85,647.55
257,3790.98,12470.85,215.45999999999998
258,2592.63,12470.76,34.29
259,6217.92,12470.67,120.06
260,4030.83,12470.67,84.69
261,5605.2,12470.85,42.839999999999996
262,2672.73,12470.58,29.52
263,3334.3199999999997,12470.76,41.76
264,530.28,12470.76,2.6999999999999997
265,1108.53,12470.67,0.8999999999999999
266,1750.95,12470.85,9.45
267,6007.59,12470.67,74.25
268,8527.32,12470.76,63.449999999999996
269,3451.5899999999997,9275.4,64.17
270,316.08,6134.4,4.77
271,8270.64,12470.85,66.14999999999999
272,7002.99,12470.67,302.4
273,3824.73,12470.76,142.10999999999999
274,3627.72,12470.67,114.92999999999999
275,4250.34,12470.76,206.64
276,3221.91,12470.67,118.97999999999999
277,3640.14,12470.76,67.23
278,8189.73,12470.85,302.21999999999997
279,4081.77,12470.85,56.25
280,4257.09,12470.85,43.92
281,1935.4499999999998,12470.76,64.17
282,1962.6299999999999,12470.85,33.21
283,2426.22,12470.85,3.42
284,1530.72,12470.76,0.8999999999999999
285,2449.62,12470.67,3.5999999999999996
286,4873.59,12470.85,49.589999999999996
287,4485.96,12470.85,19.62
288,5440.679999999999,12470.85,97.92
289,6519.69,12470.76,145.89
290,5440.679999999999,12470.85,194.4
291,3928.8599999999997,12470.76,134.73
292,4862.16,12470.85,254.88
293,5461.2,12470.85,137.07
294,2467.71,12470.76,21.33
295,5857.469999999999,12470.67,136.62
296,5792.8499999999995,12470.67,118.61999999999999
297,6388.469999999999,12470.85,81.89999999999999
298,3861.45,12470.58,175.41
299,3526.83,12470.76,238.67999999999998
300,2275.92,12470.76,34.47
301,3231,12470.67,39.24
302,2473.02,12470.85,10.62
303,5285.5199999999995,12470.67,49.68
304,2541.96,12470.76,12.059999999999999
305,5188.59,9275.4,53.19
306,1173.69,6134.4,13.5
307,6808.139999999999,12470.85,181.07999999999998
308,4789.08,12470.67,206.37
309,3578.04,12470.76,113.22
310,4049.19,12470.67,146.51999999999998
311,5102.01,12470.76,215.37
312,3599.73,12470.67,157.41
313,2656.17,12470.76,100.08
314,4881.15,12470.85,142.01999999999998
315,3171.6,12470.85,92.25
316,3541.41,12470.85,120.96
317,3225.7799999999997,12470.76,261.9
318,2335.41,12470.85,96.84
319,3989.97,12470.85,94.77
320,1555.2,12470.76,3.15
321,5222.16,12470.67,17.009999999999998
322,4162.68,12470.85,72.63
323,3386.79,12470.85,17.91
324,3141.27,12470.85,44.1
325,8163.36,12470.76,138.78
326,4934.5199999999995,12470.85,238.04999999999998
327,4201.74,12470.76,107.00999999999999
328,5168.97,12470.85,233.82
329,4432.59,12470.85,148.59
330,3704.22,12470.76,86.94
331,3854.43,12470.67,82.08
332,3267.0899999999997,12470.67,99.99
333,4015.7999999999997,12470.85,110.97
334,3069.0899999999997,12470.58,120.69
335,3661.65,12470.76,253.07999999999998
336,4310.55,12470.76,269.64
337,5119.38,12470.67,202.67999999999998
338,3257.19,12470.85,35.1
339,3882.42,12470.67,32.67
340,2758.23,12470.76,18.54
341,4586.94,9275.4,57.419999999999995
342,0,6134.4,NA
343,3226.23,12470.85,80.55
344,5969.88,12470.67,142.92
345,4046.31,12470.76,139.68
346,3984.2999999999997,12470.67,152.19
347,3947.85,12470.76,151.82999999999998
348,6062.8499999999995,12470.67,284.31
349,2003.04,12470.76,18
350,5362.47,12470.85,81.63
351,3000.33,12470.85,72
352,5444.73,12470.85,69.12
353,4174.47,12470.76,165.23999999999998
354,3369.33,12470.85,379.16999999999996
355,5449.41,12470.85,252.63
356,8312.85,12470.76,40.86
357,3445.92,12470.67,30.959999999999997
358,4788.36,12470.85,100.17
359,3947.67,12470.85,85.67999999999999
360,0,12470.85,NA
361,4351.139999999999,12470.76,164.25
362,5003.19,12470.85,215.19
363,4816.889999999999,12470.76,192.69
364,5258.429999999999,12470.85,267.93
365,6050.25,12470.85,223.38
366,4747.32,12470.76,229.41
367,5168.34,12470.67,120.24
368,1008.99,12470.67,8.01
369,4186.3499999999995,12470.85,150.39
370,3551.67,12470.58,32.58
371,4502.7,12470.76,163.71
372,3618.81,12470.76,217.70999999999998
373,6537.509999999999,12470.67,202.32
374,5130.45,12470.85,19.98
375,5304.0599999999995,12470.67,58.589999999999996
376,3251.16,12470.76,88.83
377,3446.5499999999997,9275.4,71.82
378,0,6134.4,NA
379,0,12470.85,NA
380,5077.62,12470.67,91.35
381,4852.8,12470.76,145.71
382,3393.81,12470.67,230.67
383,6409.3499999999995,12470.76,295.02
384,5974.29,12470.67,359.09999999999997
385,2494.7999999999997,12470.76,43.739999999999995
386,4391.01,12470.85,144.98999999999998
387,2736.18,12470.85,37.89
388,4281.389999999999,12470.85,87.21
389,4509.09,12470.76,63.089999999999996
390,4754.07,12470.85,162.45
391,5231.07,12470.85,69.39
392,6377.13,12470.76,37.44
393,7372.17,12470.67,189
394,4953.24,12470.85,146.7
395,5532.66,12470.85,111.50999999999999
396,0,12470.85,NA
397,3355.3799999999997,12470.76,51.66
398,5921.73,12470.85,278.28
399,3270.96,12470.76,153.98999999999998
400,2635.38,12470.85,99.81
401,7293.15,12470.85,341.01
402,7615.71,12470.76,422.55
403,3429.6299999999997,12470.67,54.449999999999996
404,4030.02,12470.67,72.81
405,3346.56,12470.85,19.08
406,4876.92,12470.58,85.5
407,4312.3499999999995,12470.76,78.48
408,5282.82,12470.76,74.07
409,4370.8499999999995,12470.67,115.74
410,5631.75,12470.85,48.33
411,5198.58,12470.67,157.76999999999998
412,4540.7699999999995,12470.76,178.56
413,5356.8,9275.4,131.57999999999998
414,0,6134.4,NA
415,1.17,12470.85,NA
416,4804.65,12470.67,128.51999999999998
417,6408,12470.76,197.1
418,4083.75,12470.67,234.45
419,1712.8799999999999,12470.76,33.48
420,5620.86,12470.67,341.82
421,3191.31,12470.76,81.81
422,5220.2699999999995,12470.85,462.41999999999996
423,6469.469999999999,12470.85,136.89
424,4551.21,12470.85,73.44
425,4627.62,12470.76,90.27
426,3677.94,12470.85,73.61999999999999
427,4550.22,12470.85,94.67999999999999
428,3943.62,12470.76,36.629999999999995
429,4825.62,12470.67,79.02
430,6312.78,12470.85,142.10999999999999
431,5556.15,12470.85,197.45999999999998
432,0,12470.85,NA
433,6672.0599999999995,12470.76,65.07
434,5189.67,12470.85,105.57
435,5500.44,12470.76,140.67
436,3054.7799999999997,12470.85,183.32999999999998
437,3920.3999999999996,12470.85,92.88
438,3079.35,12470.76,68.13
439,1922.3999999999999,12470.67,23.49
440,5643.09,12470.67,576
441,1905.84,12470.85,17.82
442,5870.61,12470.58,65.61
443,4058.46,12470.76,91.08
444,4687.47,12470.76,78.11999999999999
445,4843.53,12470.67,73.44
446,4336.83,12470.85,95.13
447,3061.5299999999997,12470.67,205.65
448,4065.93,12470.76,124.56
449,7326.99,9275.4,489.69
450,0,6134.4,NA
451,3871.44,12470.85,54
452,10191.6,12470.67,210.78
453,5767.11,12470.76,304.11
454,4681.71,12470.67,95.31
455,2374.74,12470.76,60.03
456,3397.41,12470.67,91.44
457,4618.44,12470.76,152.54999999999998
458,4305.51,12470.85,58.589999999999996
459,5804.73,12470.85,301.5
460,6078.96,12470.85,145.35
461,5876.91,12470.76,158.85
462,2378.16,12470.85,73.61999999999999
463,6974.91,12470.85,61.47
464,6171.21,12470.76,109.44
465,3182.04,12470.67,129.96
466,3342.5099999999998,12470.85,128.51999999999998
467,8284.14,12470.85,569.25
468,89.28,12470.85,0.8999999999999999
469,9363.15,12470.76,105.47999999999999
470,7123.679999999999,12470.85,73.71
471,5828.49,12470.76,94.77
472,4947.66,12470.85,219.69
473,3609.45,12470.85,164.97
474,4193.19,12470.76,209.16
475,3523.77,12470.67,89.36999999999999
476,6897.5999999999995,12470.67,255.87
477,4342.59,12470.85,92.42999999999999
478,7586.46,12470.58,437.13
479,3763.17,12470.76,146.79
480,5822.19,12470.76,293.13
481,4220.19,12470.67,51.48
482,4321.8,12470.85,143.37
483,6055.29,12470.67,245.25
484,5810.67,12470.76,190.79999999999998
485,8310.51,9275.4,665.37
486,0,6134.4,NA
487,7250.94,12470.85,144.26999999999998
488,8355.42,12470.67,133.2
489,3951,12470.76,76.14
490,4122,12470.67,82.98
491,3740.31,12470.76,122.58
492,3954.42,12470.67,221.76
493,3988.7999999999997,12470.76,158.4
494,6042.96,12470.85,280.08
495,5994.45,12470.85,342.36
496,6433.65,12470.85,172.26
497,8264.25,12470.76,417.06
498,8032.7699999999995,12470.85,405.45
499,4446.99,12470.85,54.449999999999996
500,5718.87,12470.76,89.64
501,5766.12,12470.67,176.76
502,4275.72,12470.85,250.2
503,10737.449999999999,12470.85,1911.33
504,6.4799999999999995,12470.85,NA
505,9582.57,12470.76,105.75
506,4247.55,12470.85,57.78
507,4747.5,12470.76,58.86
508,6412.86,12470.85,268.83
509,3560.85,12470.85,182.79
510,4180.7699999999995,12470.76,215.19
511,2252.79,12470.67,11.52
512,6082.92,12470.67,258.57
513,2667.5099999999998,12470.85,119.52
514,6039.2699999999995,12470.58,112.32
515,10345.68,12470.76,511.91999999999996
516,3973.8599999999997,12470.76,81
517,6494.219999999999,12470.67,55.08
518,5399.46,12470.85,180.18
519,3380.67,12470.67,94.86
520,6106.5,12470.76,636.66
521,6752.25,9275.4,739.8
